id,Codebook Variable,Description,Category/Units,UMF_Iasis
1,Patients,Number of patients,Number,200
2,DMRGENDR,Sex,Female,98
3,DMRGENDR,Sex,Male,102
4,DMRGENDR,Sex,0,0
5,DMRAGEYR,Age,Years,59
6,DMRAGEYR,Age,(<18),0
7,DMRAGEYR,Age,(18-29),6
8,DMRAGEYR,Age,(30-39),13
9,DMRAGEYR,Age,(40-49),34
10,DMRAGEYR,Age,(50-59),39
11,DMRAGEYR,Age,(60-69),54
12,DMRAGEYR,Age,(70-79),35
13,DMRAGEYR,Age,(80-89),18
14,DMRAGEYR,Age,(>90),0
15,RFXSM,Smoking,No,196
16,RFXSM,Smoking,Yes,4
17,RFXSM,Smoking,0,0
18,DMXBMI,BMI,,29.03
19,RFXOB,Obesity,No,98
20,RFXOB,Obesity,Yes,70
21,RFXOB,Obesity,0,32
22,CMXDI,Diabetes,No,164
23,CMXDI,Diabetes,Yes,36
24,CMXDI,Diabetes,0,0
25,CMXHT,Hypertension,No,108
26,CMXHT,Hypertension,Yes,91
27,CMXHT,Hypertension,0,1
28,CMXCVD,CVD,No,171
29,CMXCVD,CVD,Yes,29
30,CMXCVD,CVD,0,0
31,CMXCPD,Chronic pulmo0ry disease,No,189
32,CMXCPD,Chronic pulmo0ry disease,Yes,11
33,CMXCPD,Chronic pulmo0ry disease,0,0
34,CMXCKD,Chronic kidney disease,No,192
35,CMXCKD,Chronic kidney disease,Yes,7
36,CMXCKD,Chronic kidney disease,0,1
37,CMXCLD,Chronic liver disease,No,184
38,CMXCLD,Chronic liver disease,Yes,15
39,CMXCLD,Chronic liver disease,0,1
40,RFXONC,Oncology,0,0
41,RFXONC,Oncology,0,0
42,RFXONC,Oncology,0,0
43,RFXHC,Haematological cancer,No,191
44,RFXHC,Haematological cancer,Yes,5
45,RFXHC,Haematological cancer,0,4
46,RFXIMD,Immunodeficiency,0,0
47,RFXIMD,Immunodeficiency,0,0
48,RFXIMD,Immunodeficiency,0,0
49,RFXHIV,HIV,No,199
50,RFXHIV,HIV,0,1
51,RFXHIV,HIV,0,0
52,CMXPRG,Preg0ncy,No,200
53,CMXPRG,Preg0ncy,0,0
54,CMXPRG,Preg0ncy,0,0
53,DSXOS,Outcome status,Deceased,14
54,DSXOS,Outcome status,Recovered,186
55,DSXOS,Outcome status,0,0
56,DSXOS,Outcome status,0,0
56,DATLGT,Length of stay in hospital,0,0
57,DATLGTI,Length of stay in ICU,0,0
58,DSXIC,Patient admitted to ICU,No,186
59,DSXIC,Patient admitted to ICU,Yes,14
60,DSXIC,Patient admitted to ICU,0,0
61,TRXAV,Antiviral or COVID-19 targeted,0,0
62,TRXAV,Antiviral or COVID-19 targeted,0,0
63,TRXAV,Antiviral or COVID-19 targeted,0,0
64,DATAD,Admision,Jan_2020,0
65,DATAD,Admision,Feb_2020,0
66,DATAD,Admision,Mar_2020,0
67,DATAD,Admision,Apr_2020,5
68,DATAD,Admision,May_2020,16
69,DATAD,Admision,Jun_2020,23
70,DATAD,Admision,Jul_2020,29
71,DATAD,Admision,Ago_2020,19
72,DATAD,Admision,Sep_2020,17
73,DATAD,Admision,Oct_2020,41
74,DATAD,Admision,Nov_2020,29
75,DATAD,Admision,Dic_2020,19
76,DATAD,Admision,Total 2020,198
77,DATAD,Admision,Jan_2021,0
78,DATAD,Admision,Feb_2021,0
79,DATAD,Admision,Mar_2021,0
80,DATAD,Admision,Apr_2021,0
81,DATAD,Admision,May_2021,0
82,DATAD,Admision,Jun_2021,0
83,DATAD,Admision,Jul_2021,0
84,DATAD,Admision,Ago_2021,0
85,DATAD,Admision,Sep_2021,0
86,DATAD,Admision,Oct_2021,0
87,DATAD,Admision,Nov_2021,0
88,DATAD,Admision,Dic_2021,0
89,DATAD,Admision,Total 2021,0
90,DATAD,Admision,Jan_2022,0
91,DATAD,Admision,Feb_2022,0
92,DATAD,Admision,Mar_2022,0
93,DATAD,Admision,Apr_2022,0
94,DATAD,Admision,Total 2022,0
