id,Codebook Variable,Description,Category/Units,HM
1,Patients,Number of patients,Number,6864
2,DMRGENDR,Sex,Female,2896
3,DMRGENDR,Sex,Male,3968
4,DMRGENDR,Sex,0,0
5,DMRAGEYR,Age,Years,65
6,DMRAGEYR,Age,(<18),76
7,DMRAGEYR,Age,(18-29),156
8,DMRAGEYR,Age,(30-39),346
9,DMRAGEYR,Age,(40-49),716
10,DMRAGEYR,Age,(50-59),1055
11,DMRAGEYR,Age,(60-69),1405
12,DMRAGEYR,Age,(70-79),1418
13,DMRAGEYR,Age,(80-89),1171
14,DMRAGEYR,Age,(>90),521
15,RFXSM,Smoking,No,6532
16,RFXSM,Smoking,Yes,331
17,RFXSM,Smoking,0,1
18,DMXBMI,BMI,0,0
19,RFXOB,Obesity,No,6236
20,RFXOB,Obesity,Yes,627
21,RFXOB,Obesity,0,1
22,CMXDI,Diabetes,No,5720
23,CMXDI,Diabetes,Yes,1143
24,CMXDI,Diabetes,0,1
25,CMXHT,Hypertension,No,3960
26,CMXHT,Hypertension,Yes,2903
27,CMXHT,Hypertension,0,1
28,CMXCVD,CVD,No,6072
29,CMXCVD,CVD,Yes,791
30,CMXCVD,CVD,0,1
31,CMXCPD,Chronic pulmo0ry disease,No,5844
32,CMXCPD,Chronic pulmo0ry disease,Yes,1019
33,CMXCPD,Chronic pulmo0ry disease,0,1
34,CMXCKD,Chronic kidney disease,No,6466
35,CMXCKD,Chronic kidney disease,Yes,397
36,CMXCKD,Chronic kidney disease,0,1
37,CMXCLD,Chronic liver disease,No,6862
38,CMXCLD,Chronic liver disease,Yes,1
39,CMXCLD,Chronic liver disease,0,1
40,RFXONC,Oncology,0,0
41,RFXONC,Oncology,0,0
42,RFXONC,Oncology,0,0
43,RFXHC,Haematological cancer,No,6789
44,RFXHC,Haematological cancer,Yes,74
45,RFXHC,Haematological cancer,0,1
46,RFXIMD,Immunodeficiency,No,6817
47,RFXIMD,Immunodeficiency,Yes,46
48,RFXIMD,Immunodeficiency,0,1
49,RFXHIV,HIV,No,6857
50,RFXHIV,HIV,Yes,6
51,RFXHIV,HIV,0,1
52,CMXPRG,Preg0ncy,No,6768
53,CMXPRG,Preg0ncy,Yes,95
54,CMXPRG,Preg0ncy,0,1
55,DSXOS,Outcome status,Deceased,729
56,DSXOS,Outcome status,Recovered,5411
57,DSXOS,Outcome status,Transferred,440
58,DSXOS,Outcome status,0,284
59,DATLGT,Length of stay in hospital,Days,10.07
60,DATLGTI,Length of stay in ICU,Days,15.02
61,DSXIC,Patient admitted to ICU,No,6155
62,DSXIC,Patient admitted to ICU,Yes,709
63,DSXIC,Patient admitted to ICU,0,0
64,TRXAV,Antiviral or COVID-19 targeted,No,5029
65,TRXAV,Antiviral or COVID-19 targeted,Yes,1753
66,TRXAV,Antiviral or COVID-19 targeted,0,82
67,DATAD,Admision,Jan_2020,0
68,DATAD,Admision,Feb_2020,5
69,DATAD,Admision,Mar_2020,1460
70,DATAD,Admision,Apr_2020,1129
71,DATAD,Admision,May_2020,91
72,DATAD,Admision,Jun_2020,14
73,DATAD,Admision,Jul_2020,17
74,DATAD,Admision,Ago_2020,122
75,DATAD,Admision,Sep_2020,218
76,DATAD,Admision,Oct_2020,247
77,DATAD,Admision,Nov_2020,236
78,DATAD,Admision,Dic_2020,267
79,DATAD,Admision,Total 2020,3806
80,DATAD,Admision,Jan_2021,601
81,DATAD,Admision,Feb_2021,382
82,DATAD,Admision,Mar_2021,259
83,DATAD,Admision,Apr_2021,299
84,DATAD,Admision,May_2021,189
85,DATAD,Admision,Jun_2021,52
86,DATAD,Admision,Jul_2021,186
87,DATAD,Admision,Ago_2021,164
88,DATAD,Admision,Sep_2021,45
89,DATAD,Admision,Oct_2021,33
90,DATAD,Admision,Nov_2021,59
91,DATAD,Admision,Dic_2021,244
92,DATAD,Admision,Total 2021,2513
93,DATAD,Admision,Jan_2022,422
94,DATAD,Admision,Feb_2022,109
95,DATAD,Admision,Mar_2022,18
96,DATAD,Admision,Apr_2022,0
97,DATAD,Admision,Total 2022,549
